Keychains,,Keys,,,
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Create new design', NOW(), uuid_nil())",14bd933e-83b7-464d-9a4d-d8c8eb9682ab,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('14bd933e-83b7-464d-9a4d-d8c8eb9682ab','Catalog Management','Catalog Management','Designs','Create new design','Create new Meshery design', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Import Design', NOW(), uuid_nil())",cc040d21-3160-4a96-8efa-833487a234cd,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cc040d21-3160-4a96-8efa-833487a234cd','Catalog Management','Catalog Management','Designs','Import Design','Import a design', NOW(), uuid_nil())",X,TRUE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Import Design', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Import Design','Import a design from Kubernetes Manifest', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Import Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Import Design ','Import a design from Meshery Design (YAML)', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Import Design', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Import Design','Import a design from Helm Chart', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Import Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Import Design ','Import a design from Docker Compose', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Import Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Import Design ','Import a design from Meshery Design (OCI Image)', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Source Design', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Source Design','Import a design from GitHub', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Import Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Import Design ','Import a design from GitLab', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Import Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Import Design ','Import a design from BitBucket', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Export Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Export Design ','Using your local filesystem or remote URL.', NOW(), uuid_nil())",,FALSE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Export Design ', NOW(), uuid_nil())",9a783f51-3b4a-47a6-a02e-b0db9e78cd85,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('9a783f51-3b4a-47a6-a02e-b0db9e78cd85','Catalog Management','Catalog Management','Designs','Export Design ','Export a design in source type format (Kubernetes Manifest, Helm Chart, Docker Compose)', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Export Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Export Design ','Export a latest version of design in Meshery Design (YAML format)', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Export Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Export Design ','Export a latest version of design in Meshery Design (OCI format)', NOW(), uuid_nil())",,FALSE
