Keychains,,Keys,,,
Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','Download Design', NOW(), uuid_nil())",7a7d3cad-4cf4-48fa-b69c-e6a5abc97a07,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('7a7d3cad-4cf4-48fa-b69c-e6a5abc97a07','Chargeback','Catalog Management','Catalog ','Download Design','', NOW(), uuid_nil())",X,FALSE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Share Design', NOW(), uuid_nil())",d9ae2b08-762f-418f-916f-43de736b53e2,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('d9ae2b08-762f-418f-916f-43de736b53e2','Catalog Management','Catalog Management','Catalog ','Share Design','Share design with anyone within your organization, and make your design easily accessible to all relevant team members.', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Clone Design', NOW(), uuid_nil())",94a12f80-3c45-4a1f-afb2-a68b909d0d7f,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('94a12f80-3c45-4a1f-afb2-a68b909d0d7f','Catalog Management','Catalog Management','Catalog','Clone Design','Clone any published design to customise it according to your use cases', NOW(), uuid_nil())",X,TRUE
Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','Open in Playground', NOW(), uuid_nil())",c4d6c676-6e26-4b0c-9fdd-5eea1b780e98,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c4d6c676-6e26-4b0c-9fdd-5eea1b780e98','Chargeback','Catalog Management','Catalog','Open in Playground','', NOW(), uuid_nil())",X,FALSE
Install extension,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Install extension','View Applications', NOW(), uuid_nil())",bfb200b6-0ba9-4783-95d4-eaf1c8fe004c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('bfb200b6-0ba9-4783-95d4-eaf1c8fe004c','Install extension','Catalog Management','Applications ','View Applications','', NOW(), uuid_nil())",X,FALSE
Install extension,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Install extension','View Designs', NOW(), uuid_nil())",3798736d-1f5d-41b3-876f-f3f01453dd15,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('3798736d-1f5d-41b3-876f-f3f01453dd15','Install extension','Catalog Management','Designs ','View Designs','', NOW(), uuid_nil())",X,TRUE
Install extension,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Install extension','View Filters', NOW(), uuid_nil())",df41c45f-7c73-49c2-a055-0584fdcec1c1,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('df41c45f-7c73-49c2-a055-0584fdcec1c1','Install extension','Catalog Management','Filter','View Filters','', NOW(), uuid_nil())",X,TRUE
Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','View Catalog Requests', NOW(), uuid_nil())",30b68d69-d199-48fd-b4ff-54b5282c5c03,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('30b68d69-d199-48fd-b4ff-54b5282c5c03','Chargeback','Catalog Management','Catalog Requests','View Catalog Requests','', NOW(), uuid_nil())",X,FALSE
Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','Approve Catalog Request', NOW(), uuid_nil())",66fbc8c0-b08a-494b-8c60-68ee1b607176,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('66fbc8c0-b08a-494b-8c60-68ee1b607176','Chargeback','Catalog Management','Catalog Requests','Approve Catalog Request','', NOW(), uuid_nil())",X,FALSE
Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','Deny Catalog Request', NOW(), uuid_nil())",b9137717-a20a-44e8-a2f9-94dc3d1a6dcb,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b9137717-a20a-44e8-a2f9-94dc3d1a6dcb','Chargeback','Catalog Management','Catalog Requests`','Deny Catalog Request','', NOW(), uuid_nil())",X,FALSE
