,,"0 Models total
0 Components total",,Instructions:,"1) Fill in any red cells with appropriate data.
2) Mark yellow any cell that has a formula overwritten. 3) The svgs shouldn't have xml header, they are added programmatically through workflows",,,,,,,,,,,,,0,,,
registrant,model,component,description,shape,primaryColor,secondaryColor,svgColor,svgWhite,svgComplete,docs,styleOverrides,styles,shapePolygonPoints,defaultData,capabilities,logoURL,genealogy,isAnnotation,,,
meshery,meshery-mascots,Alpha,,polygon,#00B39F,#00D3A9,"<svg id=""Layer_1"" data-name=""Layer 1"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 612 792""><defs><style>.cls-1{fill:#00b39f;}</style></defs><g id=""Stickie_-_10"" data-name=""Stickie - 10""><path d=""M303.41,164.21c3.26,0,6.57-.34,9.77.07,6,.77,11.45-.38,17.13-2.18a117.42,117.42,0,0,1,32-5.68c1.56,0,3.15,1,4.72,1.56-1.41.75-2.75,1.92-4.25,2.18-8.33,1.45-16.71,2.61-25.05,4a36.61,36.61,0,0,0-8.56,2.62l2.9,1.13c30.45,12.06,51,33,58,65.63,4.76,22.18.12,42.8-12.51,61.65-16.29,24.34-39.21,36.9-68.27,38.65-.71,0-1.41.1-2.11.19a15.81,15.81,0,0,0-1.6.42c.92,7.29,1.8,14.55,2.8,21.8.11.82.9,1.55,1.39,2.31,16.25,25.16,35.5,47.93,55.93,69.72,9.91,10.58,20,21,30.61,30.9,11.2,10.5,25.36,15.85,39.63,20.68,19.88,6.72,40.11,12.06,60.93,15,4.39.61,8.07.47,12.06-2.6,3.27-2.52,8.08-3.59,12.36-4.15,15.84-2,28.73,4.26,39.55,15.32a22,22,0,0,1,4.52,7.4c2,5.22-1.06,9.51-6.63,9.77-10.32.49-20.2-2-30-4.57-1.71-.44-2.78-.28-3.88,1.15-9.49,12.34-21.77,21.09-35.72,27.72C438.24,569.05,386,589.46,330.69,601.26c-4.25.9-8.34,1.23-13-.8,6.25-1.54,12-3,17.71-4.34,54.31-12.32,105.9-32.17,155.91-56.37,10.9-5.27,20.68-12.13,28.42-21.6,1-1.21,1.87-2.52,2.8-3.79l-.34-.9c-4.41.57-8.87.9-13.23,1.73-47.5,9.06-93.65,22.57-137,44.27-19.6,9.81-38.18,21.65-57.17,32.68-4.29,2.49-4,2.45-8.27-.19q-17.33-10.74-34.92-21.08c-37-21.66-76.89-36-118.23-46.59-16.57-4.23-33.45-7.2-50.2-10.72-1.16-.24-2.37-.22-4.29-.39.84,1.32,1.28,2.13,1.83,2.87,5.87,7.89,13,14.54,21.75,18.89,16.49,8.19,33.19,16,50,23.52,46.72,21,95.91,34.16,145.81,44.93,14.08,3,28.23,5.7,42.34,8.59a19.87,19.87,0,0,1,5.15,1.65,67.84,67.84,0,0,1,21.94,17.73c3.51,4.39,3.88,5.92,3.32,12.14-2.33-.34-4.81-.23-6.9-1.07-10-4.08-18.07-10.85-24.76-19.28a7.59,7.59,0,0,1-1.8-3.11c-.73-4.33-3.78-5-7.46-5.81-39.63-8.29-79.27-16.61-117.87-29-34.57-11.12-67.87-25.45-100.61-41.08-13.56-6.48-25.56-15-34.42-27.36-1.58-2.21-3.09-2.91-6-1.82-12.34,4.59-25,7.77-38.34,7.35-4-.13-7.65-4.13-6.7-8A16.15,16.15,0,0,1,49,508c11.58-14.26,28.61-21.87,47.46-17.07,3.18.81,5.92,3.22,9,4.62,1.73.78,3.82,1.65,5.57,1.37,10.34-1.62,20.7-3.22,30.91-5.49a311.15,311.15,0,0,0,48.4-15.1,90.47,90.47,0,0,0,29.82-19.17c29-28.25,55.83-58.4,79-91.75,3.38-4.87,4.87-9.56,3.5-15.4a92.64,92.64,0,0,1-1.6-12.58c-.23-2.54-1.25-3.49-3.91-3.74-26.32-2.42-48.21-13.8-65.5-33.64-9.23-10.59-13.57-23.26-14.3-37.37-1.27-24.62,4.13-47.22,19.16-67.11,7.39-9.78,16.51-17.32,28.31-21.28,7.73-2.6,15.46-5.21,23.13-7.95,3.21-1.15,6.56-2.22,9.4-4,12.58-8,26.53-11.47,41.07-13.18a77.93,77.93,0,0,1,9.64-.66c1.52,0,3,.94,4.54,1.45-1.36.77-2.64,2-4.08,2.24-6.85,1.14-13.85,1.59-20.61,3.11-7.32,1.66-14.45,4.2-21.65,6.43a16.85,16.85,0,0,0-2.85,1.49Zm-18.13,8.25,0,1a42.51,42.51,0,0,1-5.64,1c-16.37.86-29.27,8.23-39.2,21-13.69,17.57-19.25,37.78-19.2,59.82.06,20.28,7.68,37.07,23.09,50.17,19.1,16.23,41,24.73,66.36,23.66,18.95-.8,36-6.76,50-19.39,25-22.66,32.76-54.49,20.63-87.73-10.13-27.79-44.6-58.81-88.43-53.3-4.14.53-8.24,1.4-12.36,2.1l.09.47ZM103.44,509.23A588.15,588.15,0,0,1,209.89,537.8c34.61,12.75,66.52,30.82,97.85,50.78a19.3,19.3,0,0,0,.44-2.42c.54-21.36,1.55-42.71,1.46-64.07-.11-23.27-1.27-46.54-1.92-69.81-.67-23.88-1.22-47.76-2-71.64-.16-4.93-.89-9.85-1.35-14.78a46.21,46.21,0,0,0-5.11,6.79c-19.78,29.38-43.45,55.52-67.73,81.13-10,10.6-21.47,19.33-35.09,25.22a297.7,297.7,0,0,1-85.16,22.87,5.43,5.43,0,0,0-3.1,1.39C106.58,505,105.21,507,103.44,509.23Zm407.44,1.39c-2.42-3.1-4.79-6.36-7.42-9.39-.67-.78-2.14-1.07-3.28-1.2-23.73-2.7-46.67-8.6-69.21-16.41-21.82-7.55-40.53-19.55-55.76-36.95q-5.88-6.71-11.93-13.26c-18.69-20.23-36.31-41.33-51.73-64.2a8.85,8.85,0,0,0-1.09-1.27c.73,73.42,6.32,147,3.06,221.14C374,547.93,440.85,523.42,510.88,510.62Zm-455.41,8,.1-.35a61.16,61.16,0,0,0,7.81-.85c9.49-2.2,19.12-4.07,28.33-7.13,4.56-1.52,8.46-5.21,12.39-8.27,2-1.57,1.85-3.8-.63-5.12a44.89,44.89,0,0,0-7.88-3.64c-15.89-4.84-36.33,7.5-43.6,18.6-1,1.57-1.25,3.67-1.84,5.53Zm500.82-2,5.44-1.24c-.8-2.2-1.58-4.39-2.41-6.57a3.88,3.88,0,0,0-.73-1,50.47,50.47,0,0,0-28-16.79,29.54,29.54,0,0,0-20.25,2.81c-4.57,2.36-4.86,4.3-1.07,7.63a33.07,33.07,0,0,0,6.38,4.52C528.19,512.59,541.78,515.17,556.29,516.66ZM360.77,616.4l-.58.79a25.79,25.79,0,0,0,1.78,3.92c5.6,8.22,13.39,13.71,22.38,17.67.45.19,1.15.5,1.41.32.64-.48,1.48-1.18,1.51-1.84a4.4,4.4,0,0,0-1-2.44,52.74,52.74,0,0,0-19.84-17.13C364.72,616.86,362.66,616.81,360.77,616.4Z""/><path d=""M303.91,607.55q-12.93,2.78-25.86,5.52c-3.25.69-6.53,1.22-9.76,2a3.46,3.46,0,0,0-2.29,1.51c-3.6,10.15-11.7,16.18-20.11,21.75a42.57,42.57,0,0,1-11.27,4.88c-3.34,1-4.42-.12-3.85-3.51a16.63,16.63,0,0,1,2.4-6.38c6-8.92,14.32-15.23,23.8-19.93,2.89-1.43,6.39-1.66,9.64-2.29,8.79-1.7,17.57-3.53,26.42-4.86,3.53-.53,7.24.1,10.87.2ZM262,617.35l-.63-.79c-1.43.17-3,0-4.26.58a49,49,0,0,0-21.66,18.46c-.53.8-.38,2-.55,3.07,1.12,0,2.38.27,3.33-.15a54.34,54.34,0,0,0,21.11-16A29.88,29.88,0,0,0,262,617.35Z""/><path d=""M431.84,578.45c12.41-4.88,24.87-9.36,37-14.66s23.58-11.33,35.78-16.75a18,18,0,0,1-2.9,2.89c-5.38,3.34-10.67,6.88-16.31,9.72C468.71,568,451.63,575.33,433,578.29Z""/><path d=""M191.45,579a146.47,146.47,0,0,1-51.9-16.78,34.33,34.33,0,0,1-4.79-3.88l.65-.88Z""/><path class=""cls-1"" d=""M55.47,518.66l-5.32-1.23c.59-1.86.81-4,1.84-5.53,7.27-11.1,27.71-23.44,43.6-18.6a44.89,44.89,0,0,1,7.88,3.64c2.48,1.32,2.66,3.55.63,5.12-3.93,3.06-7.83,6.75-12.39,8.27-9.21,3.06-18.84,4.93-28.33,7.13a61.16,61.16,0,0,1-7.81.85Z""/><path class=""cls-1"" d=""M556.29,516.66c-14.51-1.49-28.1-4.07-40.63-10.6a33.07,33.07,0,0,1-6.38-4.52c-3.79-3.33-3.5-5.27,1.07-7.63a29.54,29.54,0,0,1,20.25-2.81,50.47,50.47,0,0,1,28,16.79,3.88,3.88,0,0,1,.73,1c.83,2.18,1.61,4.37,2.41,6.57Z""/><path class=""cls-1"" d=""M360.77,616.4c1.89.41,4,.46,5.63,1.29a52.74,52.74,0,0,1,19.84,17.13,4.4,4.4,0,0,1,1,2.44c0,.66-.87,1.36-1.51,1.84-.26.18-1-.13-1.41-.32-9-4-16.78-9.45-22.38-17.67a25.79,25.79,0,0,1-1.78-3.92Z""/><path class=""cls-1"" d=""M262,617.35a29.88,29.88,0,0,1-2.66,5.12,54.34,54.34,0,0,1-21.11,16c-1,.42-2.21.12-3.33.15.17-1,0-2.27.55-3.07a49,49,0,0,1,21.66-18.46c1.27-.55,2.83-.41,4.26-.58Z""/><path d=""M354.73,288.47c.34,3.32-1.58,4.93-3.55,5.84-5.37,2.49-10.74,5.23-16.42,6.71a141.68,141.68,0,0,1-72,0,31.11,31.11,0,0,1-5.93-2.22c-.75-.37-1.11-1.52-1.65-2.31,1-.54,1.95-1.57,2.87-1.5a30.4,30.4,0,0,1,5.24,1.36c26.68,6.94,53.2,6.89,79.44-2.12,3.19-1.1,6.09-3.06,9.15-4.58C352.7,289.2,353.59,288.92,354.73,288.47Z""/><path d=""M353.07,221.41c-5-2.83-9.44-6.48-14.48-7.84s-10.43-.28-15.68-.28l-.44-.95c1.18-.86,2.23-2.14,3.55-2.51,9.44-2.66,18.12-1.31,25.69,5.29A4.83,4.83,0,0,1,353.07,221.41Z""/><path d=""M251.84,223.44a16.91,16.91,0,0,1,2.08-3.74A28.46,28.46,0,0,1,271.06,211c3.76-.48,7.62-.15,11.44-.15a5,5,0,0,1,1.77.32c1.75.66,4.2,1.22,3.54,3.62s-2.88,1-4.41.7c-10-2.17-19.17-.85-27.13,6.07-1.09,1-2.34,1.72-3.51,2.57Z""/><path d=""M289.73,239.4c-1.6.65-3.25,2-4.79,1.86-8.6-.7-17.18-1.7-25.75-2.76-.9-.12-1.66-1.34-2.49-2.05,1-.53,2-1.57,2.91-1.52,6.21.37,12.41,1,18.62,1.5,2.7.24,5.41.44,8.1.75a22.86,22.86,0,0,1,3.1.82Z""/><path d=""M318.15,240.18c.82-2.93,2.64-3.25,4.66-3.36,6.52-.37,13.06-.7,19.57-1.23a71,71,0,0,0,7.45-1.35c.83,2.25-.15,3.6-1.88,4.2a28.21,28.21,0,0,1-7.27,1.78c-6.42.43-12.86.54-19.3.68A14.52,14.52,0,0,1,318.15,240.18Z""/><path d=""M185.74,520.59c2.2.32,4.59.19,6.56,1,9.69,4.15,19.29,8.54,28.89,12.89,3.17,1.44,6.28,3,10.19,4.91-17-3.06-31-11.41-46.06-17.23Z""/><path d=""M430.06,520.93a33.45,33.45,0,0,1-3.72,1.58c-10.92,3.2-21.92,6.11-32.74,9.6-6.21,2-12.11,5-18.17,7.42a10,10,0,0,1-4.67.74c18.05-11.37,38.15-16.76,58.74-20.66Z""/></g></svg>","<svg id=""Layer_1"" data-name=""Layer 1"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 612 792""><defs><style>.cls-1{fill:#00b39f;}</style></defs><g id=""Stickie_-_10"" data-name=""Stickie - 10""><path d=""M303.41,164.21c3.26,0,6.57-.34,9.77.07,6,.77,11.45-.38,17.13-2.18a117.42,117.42,0,0,1,32-5.68c1.56,0,3.15,1,4.72,1.56-1.41.75-2.75,1.92-4.25,2.18-8.33,1.45-16.71,2.61-25.05,4a36.61,36.61,0,0,0-8.56,2.62l2.9,1.13c30.45,12.06,51,33,58,65.63,4.76,22.18.12,42.8-12.51,61.65-16.29,24.34-39.21,36.9-68.27,38.65-.71,0-1.41.1-2.11.19a15.81,15.81,0,0,0-1.6.42c.92,7.29,1.8,14.55,2.8,21.8.11.82.9,1.55,1.39,2.31,16.25,25.16,35.5,47.93,55.93,69.72,9.91,10.58,20,21,30.61,30.9,11.2,10.5,25.36,15.85,39.63,20.68,19.88,6.72,40.11,12.06,60.93,15,4.39.61,8.07.47,12.06-2.6,3.27-2.52,8.08-3.59,12.36-4.15,15.84-2,28.73,4.26,39.55,15.32a22,22,0,0,1,4.52,7.4c2,5.22-1.06,9.51-6.63,9.77-10.32.49-20.2-2-30-4.57-1.71-.44-2.78-.28-3.88,1.15-9.49,12.34-21.77,21.09-35.72,27.72C438.24,569.05,386,589.46,330.69,601.26c-4.25.9-8.34,1.23-13-.8,6.25-1.54,12-3,17.71-4.34,54.31-12.32,105.9-32.17,155.91-56.37,10.9-5.27,20.68-12.13,28.42-21.6,1-1.21,1.87-2.52,2.8-3.79l-.34-.9c-4.41.57-8.87.9-13.23,1.73-47.5,9.06-93.65,22.57-137,44.27-19.6,9.81-38.18,21.65-57.17,32.68-4.29,2.49-4,2.45-8.27-.19q-17.33-10.74-34.92-21.08c-37-21.66-76.89-36-118.23-46.59-16.57-4.23-33.45-7.2-50.2-10.72-1.16-.24-2.37-.22-4.29-.39.84,1.32,1.28,2.13,1.83,2.87,5.87,7.89,13,14.54,21.75,18.89,16.49,8.19,33.19,16,50,23.52,46.72,21,95.91,34.16,145.81,44.93,14.08,3,28.23,5.7,42.34,8.59a19.87,19.87,0,0,1,5.15,1.65,67.84,67.84,0,0,1,21.94,17.73c3.51,4.39,3.88,5.92,3.32,12.14-2.33-.34-4.81-.23-6.9-1.07-10-4.08-18.07-10.85-24.76-19.28a7.59,7.59,0,0,1-1.8-3.11c-.73-4.33-3.78-5-7.46-5.81-39.63-8.29-79.27-16.61-117.87-29-34.57-11.12-67.87-25.45-100.61-41.08-13.56-6.48-25.56-15-34.42-27.36-1.58-2.21-3.09-2.91-6-1.82-12.34,4.59-25,7.77-38.34,7.35-4-.13-7.65-4.13-6.7-8A16.15,16.15,0,0,1,49,508c11.58-14.26,28.61-21.87,47.46-17.07,3.18.81,5.92,3.22,9,4.62,1.73.78,3.82,1.65,5.57,1.37,10.34-1.62,20.7-3.22,30.91-5.49a311.15,311.15,0,0,0,48.4-15.1,90.47,90.47,0,0,0,29.82-19.17c29-28.25,55.83-58.4,79-91.75,3.38-4.87,4.87-9.56,3.5-15.4a92.64,92.64,0,0,1-1.6-12.58c-.23-2.54-1.25-3.49-3.91-3.74-26.32-2.42-48.21-13.8-65.5-33.64-9.23-10.59-13.57-23.26-14.3-37.37-1.27-24.62,4.13-47.22,19.16-67.11,7.39-9.78,16.51-17.32,28.31-21.28,7.73-2.6,15.46-5.21,23.13-7.95,3.21-1.15,6.56-2.22,9.4-4,12.58-8,26.53-11.47,41.07-13.18a77.93,77.93,0,0,1,9.64-.66c1.52,0,3,.94,4.54,1.45-1.36.77-2.64,2-4.08,2.24-6.85,1.14-13.85,1.59-20.61,3.11-7.32,1.66-14.45,4.2-21.65,6.43a16.85,16.85,0,0,0-2.85,1.49Zm-18.13,8.25,0,1a42.51,42.51,0,0,1-5.64,1c-16.37.86-29.27,8.23-39.2,21-13.69,17.57-19.25,37.78-19.2,59.82.06,20.28,7.68,37.07,23.09,50.17,19.1,16.23,41,24.73,66.36,23.66,18.95-.8,36-6.76,50-19.39,25-22.66,32.76-54.49,20.63-87.73-10.13-27.79-44.6-58.81-88.43-53.3-4.14.53-8.24,1.4-12.36,2.1l.09.47ZM103.44,509.23A588.15,588.15,0,0,1,209.89,537.8c34.61,12.75,66.52,30.82,97.85,50.78a19.3,19.3,0,0,0,.44-2.42c.54-21.36,1.55-42.71,1.46-64.07-.11-23.27-1.27-46.54-1.92-69.81-.67-23.88-1.22-47.76-2-71.64-.16-4.93-.89-9.85-1.35-14.78a46.21,46.21,0,0,0-5.11,6.79c-19.78,29.38-43.45,55.52-67.73,81.13-10,10.6-21.47,19.33-35.09,25.22a297.7,297.7,0,0,1-85.16,22.87,5.43,5.43,0,0,0-3.1,1.39C106.58,505,105.21,507,103.44,509.23Zm407.44,1.39c-2.42-3.1-4.79-6.36-7.42-9.39-.67-.78-2.14-1.07-3.28-1.2-23.73-2.7-46.67-8.6-69.21-16.41-21.82-7.55-40.53-19.55-55.76-36.95q-5.88-6.71-11.93-13.26c-18.69-20.23-36.31-41.33-51.73-64.2a8.85,8.85,0,0,0-1.09-1.27c.73,73.42,6.32,147,3.06,221.14C374,547.93,440.85,523.42,510.88,510.62Zm-455.41,8,.1-.35a61.16,61.16,0,0,0,7.81-.85c9.49-2.2,19.12-4.07,28.33-7.13,4.56-1.52,8.46-5.21,12.39-8.27,2-1.57,1.85-3.8-.63-5.12a44.89,44.89,0,0,0-7.88-3.64c-15.89-4.84-36.33,7.5-43.6,18.6-1,1.57-1.25,3.67-1.84,5.53Zm500.82-2,5.44-1.24c-.8-2.2-1.58-4.39-2.41-6.57a3.88,3.88,0,0,0-.73-1,50.47,50.47,0,0,0-28-16.79,29.54,29.54,0,0,0-20.25,2.81c-4.57,2.36-4.86,4.3-1.07,7.63a33.07,33.07,0,0,0,6.38,4.52C528.19,512.59,541.78,515.17,556.29,516.66ZM360.77,616.4l-.58.79a25.79,25.79,0,0,0,1.78,3.92c5.6,8.22,13.39,13.71,22.38,17.67.45.19,1.15.5,1.41.32.64-.48,1.48-1.18,1.51-1.84a4.4,4.4,0,0,0-1-2.44,52.74,52.74,0,0,0-19.84-17.13C364.72,616.86,362.66,616.81,360.77,616.4Z""/><path d=""M303.91,607.55q-12.93,2.78-25.86,5.52c-3.25.69-6.53,1.22-9.76,2a3.46,3.46,0,0,0-2.29,1.51c-3.6,10.15-11.7,16.18-20.11,21.75a42.57,42.57,0,0,1-11.27,4.88c-3.34,1-4.42-.12-3.85-3.51a16.63,16.63,0,0,1,2.4-6.38c6-8.92,14.32-15.23,23.8-19.93,2.89-1.43,6.39-1.66,9.64-2.29,8.79-1.7,17.57-3.53,26.42-4.86,3.53-.53,7.24.1,10.87.2ZM262,617.35l-.63-.79c-1.43.17-3,0-4.26.58a49,49,0,0,0-21.66,18.46c-.53.8-.38,2-.55,3.07,1.12,0,2.38.27,3.33-.15a54.34,54.34,0,0,0,21.11-16A29.88,29.88,0,0,0,262,617.35Z""/><path d=""M431.84,578.45c12.41-4.88,24.87-9.36,37-14.66s23.58-11.33,35.78-16.75a18,18,0,0,1-2.9,2.89c-5.38,3.34-10.67,6.88-16.31,9.72C468.71,568,451.63,575.33,433,578.29Z""/><path d=""M191.45,579a146.47,146.47,0,0,1-51.9-16.78,34.33,34.33,0,0,1-4.79-3.88l.65-.88Z""/><path class=""cls-1"" d=""M55.47,518.66l-5.32-1.23c.59-1.86.81-4,1.84-5.53,7.27-11.1,27.71-23.44,43.6-18.6a44.89,44.89,0,0,1,7.88,3.64c2.48,1.32,2.66,3.55.63,5.12-3.93,3.06-7.83,6.75-12.39,8.27-9.21,3.06-18.84,4.93-28.33,7.13a61.16,61.16,0,0,1-7.81.85Z""/><path class=""cls-1"" d=""M556.29,516.66c-14.51-1.49-28.1-4.07-40.63-10.6a33.07,33.07,0,0,1-6.38-4.52c-3.79-3.33-3.5-5.27,1.07-7.63a29.54,29.54,0,0,1,20.25-2.81,50.47,50.47,0,0,1,28,16.79,3.88,3.88,0,0,1,.73,1c.83,2.18,1.61,4.37,2.41,6.57Z""/><path class=""cls-1"" d=""M360.77,616.4c1.89.41,4,.46,5.63,1.29a52.74,52.74,0,0,1,19.84,17.13,4.4,4.4,0,0,1,1,2.44c0,.66-.87,1.36-1.51,1.84-.26.18-1-.13-1.41-.32-9-4-16.78-9.45-22.38-17.67a25.79,25.79,0,0,1-1.78-3.92Z""/><path class=""cls-1"" d=""M262,617.35a29.88,29.88,0,0,1-2.66,5.12,54.34,54.34,0,0,1-21.11,16c-1,.42-2.21.12-3.33.15.17-1,0-2.27.55-3.07a49,49,0,0,1,21.66-18.46c1.27-.55,2.83-.41,4.26-.58Z""/><path d=""M354.73,288.47c.34,3.32-1.58,4.93-3.55,5.84-5.37,2.49-10.74,5.23-16.42,6.71a141.68,141.68,0,0,1-72,0,31.11,31.11,0,0,1-5.93-2.22c-.75-.37-1.11-1.52-1.65-2.31,1-.54,1.95-1.57,2.87-1.5a30.4,30.4,0,0,1,5.24,1.36c26.68,6.94,53.2,6.89,79.44-2.12,3.19-1.1,6.09-3.06,9.15-4.58C352.7,289.2,353.59,288.92,354.73,288.47Z""/><path d=""M353.07,221.41c-5-2.83-9.44-6.48-14.48-7.84s-10.43-.28-15.68-.28l-.44-.95c1.18-.86,2.23-2.14,3.55-2.51,9.44-2.66,18.12-1.31,25.69,5.29A4.83,4.83,0,0,1,353.07,221.41Z""/><path d=""M251.84,223.44a16.91,16.91,0,0,1,2.08-3.74A28.46,28.46,0,0,1,271.06,211c3.76-.48,7.62-.15,11.44-.15a5,5,0,0,1,1.77.32c1.75.66,4.2,1.22,3.54,3.62s-2.88,1-4.41.7c-10-2.17-19.17-.85-27.13,6.07-1.09,1-2.34,1.72-3.51,2.57Z""/><path d=""M289.73,239.4c-1.6.65-3.25,2-4.79,1.86-8.6-.7-17.18-1.7-25.75-2.76-.9-.12-1.66-1.34-2.49-2.05,1-.53,2-1.57,2.91-1.52,6.21.37,12.41,1,18.62,1.5,2.7.24,5.41.44,8.1.75a22.86,22.86,0,0,1,3.1.82Z""/><path d=""M318.15,240.18c.82-2.93,2.64-3.25,4.66-3.36,6.52-.37,13.06-.7,19.57-1.23a71,71,0,0,0,7.45-1.35c.83,2.25-.15,3.6-1.88,4.2a28.21,28.21,0,0,1-7.27,1.78c-6.42.43-12.86.54-19.3.68A14.52,14.52,0,0,1,318.15,240.18Z""/><path d=""M185.74,520.59c2.2.32,4.59.19,6.56,1,9.69,4.15,19.29,8.54,28.89,12.89,3.17,1.44,6.28,3,10.19,4.91-17-3.06-31-11.41-46.06-17.23Z""/><path d=""M430.06,520.93a33.45,33.45,0,0,1-3.72,1.58c-10.92,3.2-21.92,6.11-32.74,9.6-6.21,2-12.11,5-18.17,7.42a10,10,0,0,1-4.67.74c18.05-11.37,38.15-16.76,58.74-20.66Z""/></g></svg>",,https://docs.meshery.io/extensions/component-shape-guide,"{""background-opacity"":0,""data"":{""label"":""""}}","{""background-opacity"":0}",,"{""label"":""""}",#REF!,,,TRUE,,,core.meshery.io/v1alpha1
